close,閉じる
"Data is invalid or file is not uploaded",データが不正であるかファイルがアップロードされていません
"The total size of the uploadable files can't be more than %1M",アップロード可能ファイルの総サイズは%1M以上になれません
"System doesn't allow to get file upload settings",システムはファイルアップロードの設定を入手することを許可しません
"Please enter a correct entity model",正しいエンティティモデルを入力してください
"Entity adapter object must be an instance of %1 or %2",エンティティアダプターオブジェクトは%1か%2のインスタンスでなければなりません
"The input entity code is not equal to entity adapter code.",インプットエンティティコードはエンティティアダプターコードと同じではありません
"Please enter a correct entity.",正しいエンティティを入力してください
"Adapter object must be an instance of %1",アダプターオブジェクトは%1のインスタンスでなくてはなりません
"Please correct the file format.",ファイルフォーマットを修正してください
"Begin export of %1",%1のエクスポートを開始
"There is no data for export",エクスポートできるデータがありません
"Exported %1 rows.",%1行をエクスポートしました
"Export has been done.",エクスポート完了しました。
"Please provide filter data.",フィルターデータを提供してください
"Cannot determine attribute filter type",属性フィルタータイプが決定できません
"Entity is unknown",エンティティが不明です
"File format is unknown",ファイル形式が不明です
"Please correct the value for '%1' column",コラム'%1'の値を修正してください
"Please specify writer.",ライターを指定してください
"Destination file path must be a string",保存先ファイルパスは文字列でなければなりません
"Destination directory is not writable",保存先ディレクトリに書き込み権限がありません
"Destination file is not writable",保存先ファイルに書き込み権限がありません
"Header column names already set",ヘッダ列が既にセットされています
"in rows",行
"Validation finished successfully",チェック完了
"File does not contain data.",ファイルにデータがありません。
"Begin import of ""%1"" with ""%2"" behavior","""%1""のインポートを""%2""挙動で開始"
"Import has been done successfuly.",インポートが完了しました。
"File was not uploaded.",ファイルがアップロードしませんでした
"Uploaded file has no extension",アップロードしたファイルに拡張子がありません
"Source file moving failed",元ファイルの移動に失敗しました
"Begin data validation",データ検証開始
"Done import data validation",インポートデータ検証完了
"Invalid behavior token for %1",%1のための無効な挙動トークン
"Source is not set",元ファイルが未指定です
"Cannot find required columns: %1","必須の列がみつかりません: %1"
"Columns number: ""%1"" have empty headers","コラム名: ""%1"" は空のヘッダーです"
"Column names: ""%1"" are invalid","コラム名: ""%1"" は無効です"
"The adapter type must be a non empty string.",アダプタータイプは空の文字列ではいけません
"'%1' file extension is not supported",'%1'ファイル拡張子はサポートされていません
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","アダプターは \Magento\ImportExport\Model\Import\AbstractSource　のインスタンスでなければなりません"
"Please specify a source.",ソースを指定してください
"Cannot get autoincrement value",オートインクリメント値を取得できません
"Error in data structure: %1 values are mixed","データストラクチャーにエラー: %1 値が混在"
Add/Update,追加/アップデート
"Replace Existing Complex Data",上書き
"Delete Entities",エンティティ削除
"Add/Update Complex Data",追加/アップデートコンプレックスデータ
"Custom Action",カスタムアクション
"Error message",エラーメッセージ
"Entity Attributes",エンティティ属性
"Validation Results",検証結果
"You saved the alert subscription.",アラート購読を保存しました
"There are not enough parameters.",充分なパラメーターありません
"Unable to update the alert subscription.",購読状況を更新できません。
"Alert subscription has been saved.",更新通知を購読しました。
"You deleted the alert subscription.",アラート購読を削除しました
"You will no longer receive price alerts for this product.",この商品の価格変更通知受信を停止しました。
"You will no longer receive stock alerts for this product.",この商品の在庫更新通知を停止しました。
"The product was not found.",商品が見つかりません。
"You will no longer receive stock alerts.",在庫更新通知を受信しなくなります。
"Invalid block type: %1","無効なブロックタイプ: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:",以下の商品の価格が変更された場合に通知されるように設定しているため、この通知を受け取りました。
Price:,価格:
"Click here not to receive alerts for this product.",ここクリックしてこの商品のアラートを受け取らないようにしてください
"Unsubscribe from all price alerts",すべての価格通知を購読解除する
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:",以下の商品が在庫有りになった場合の通知されるように設定しているため、この通知を受け取りました。
"Unsubscribe from all stock alerts",在庫通知を購読解除する
"Allow Alert When Product Price Changes",商品価格変更時の通知を許可する
"Allow Alert When Product Comes Back in Stock",商品入荷時の通知を許可する
"Price Alert Email Template",価格変更通知メールテンプレート
"Stock Alert Email Template",在庫更新通知メールテンプレート
"Alert Email Sender",通知Email送信者
"Product Alerts Run Settings",商品通知実行設定
"Sign up for price alert",価格通知を購読する
"Sign up to be notified when this product is back in stock.",この商品が入荷した場合に通知がされるようにサインアップ
"Email Templates",メールテンプレート
Sender,送り主
"Send Email",メール送信
"You can't send messages more than %1 times an hour.","一時間に %1 回以上メッセージを送信出来ません"
"The link to a friend was sent.",リンクを友達に送信しました。
"We found some problems with the data.",データに問題をみつけました
"Some emails were not sent.",何件かのメールが送信できませんでした。
"You've met your limit of %1 sends in an hour.","一時間に %1 通の制限に達しました"
"Please enter a sender name.",送信者の名前を入れてください
"Invalid Sender Email",無効な送信者メールです
"Please enter a message.",メッセージを入力して下さい
"Please specify at least one recipient.",少なくとも一人の受取人を指定してください
"Please enter a correct recipient email address.",正しい受取人のメールアドレスを入力してください
"No more than %1 emails can be sent at a time.",%1　以上のメールは一度に送れません
"Please define a correct product instance.",正しい商品インスタンスを定義してください
"Invalid Sender Information",不正な送信者情報です。
"Please define the correct sender information.",正しい送信者情報を定義してください
"Cookie (unsafe)","Cookie (安全ではない)"
"Remove Recipent",受取人削除
Recipient,受取人
"Maximum %1 email addresses allowed.","最大 %1 メールアドレスが可能"
"Add Recipient",新規受け取り先の追加
"Email to a Friend",友達にメールを送る
"Select Email Template",メールテンプレートを選択
"Allow for Guests",ゲストに許可する
"Max Recipients",最大受信者数
"Max Products Sent in 1 Hour",1時間あたりの最大送信件数
"Limit Sending By",送信制限
"System Backup",システムバックアップ
"Database and Media Backup",データベースとメディアバックアップ
"Database Backup",データベースバックアップ
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Windowsシステムでは<a href=""""%1"""">%2</a>でアーカイブを解凍できます。"
"You need more permissions to activate maintenance mode right now.",メンテナンスモードにするには更に権限が必要です。
"To continue with the backup, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","バックアップを続けるには' 'ストアをメンテナンスモードにするを選択しないか権限をアップデートする必要があります。"
"Something went wrong putting your store into maintenance mode.",メンテナンスモードに移行時に問題が発生しました。
"You need more free space to create a backup.",バックアップを作成するにはもっと容量が必要です。
"You need more permissions to create a backup.",バックアップを作成するにはもっと権限が必要です。
"Something went wrong creating the backup.",バックアップ作成中に問題が発生しました。
Backups,バックアップ
Tools,ツール
Backup,バックアップ
"We couldn't delete one or more backups.",バックアップが削除できませんでした。
failed,失敗
successful,成功
"The selected backup(s) has been deleted.",選択したバックアップを削除しました。
"Can't load snapshot archive",スナップショットのアーカイブの読み込みができませんでした。
"Please correct the password.",パスワードを修正してください。
"To continue with the rollback, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","ロールバックを続けるには' 'ストアをメンテナンスモードにするを選択しないか権限をアップデートする必要があります。"
"The backup file was not found.",バックアップファイルは見つかりませんでした。
"We couldn't connect to the FTP.",FTPに接続できませんでした。
"Failed to validate FTP",FTP接続の検証に失敗しました
"Not enough permissions to perform rollback.",ロールバックをおこなうには権限が足りません。
"Failed to rollback",ロールバックに失敗しました
Database,データベース
"Database and Media",データベースとメディア
"System (excluding Media)","システム (メディア以外)"
"The system backup has been created.",システムバックアップを作成しました
"The system backup (excluding media) has been created.",システムバックアップ（メディアは除く）が作成されました。
"The database and media backup has been created.",データベースとメディアファイルのバックアップを作成しました。
"The database backup has been created.",データベースバックアップを作成しました。
"Please correct the order of creation for a new backup.",新しいバックアップのために作成順を修正してください。
"The backup file does not exist.",バックアップファイルは存在しません。
"The backup file path was not specified.",バックアップファイルのパスが指定されていません。
"The backup file ""%1"" does not exist.","バックアップファイル""%1""は存在しません。"
"Sorry, but we cannot read from or write to backup file ""%1"".","申し訳ありませんがバックアップファイル""%1""を読むことも書き込むこともできません。"
"The backup file handler was unspecified.",バックアップファイルハンドラーが不明です。
"Something went wrong writing to the backup file ""%1"".","バックアップファイル""%1""に問題があります。"
Warning,警告
"Any data created since the backup was made will be lost including admin users, customers and orders.",バックアップを作成以降の管理ユーザー、顧客データ、注文データなどの全てのデータは失われます。
"Are you sure you want to proceed?",続けてもよろしいですか？
"It will take time to create a backup. ",バックアップの作成には時間がかかります。
"Please wait until the action ends.",作業が完了するまでお待ち下さい。
"Are you sure you want to continue?",作業を続けますか？
"Backup options",バックアップオプション
"Please specify backup creation option.",バックアップ作成のオプションを指定してください。
"Backup Name",バックアップ名
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",半角英数字またはスペースを使用してください。
"Please put your store into maintenance mode during backup.",バックアップ中はストアをメンテナンスモードにしてください。
"Exclude media folder from backup",メディアフォルダをバックアップから除外する
"Please enter a password.",パスワードを入力してください。
"Please enter the password to confirm rollback.",ロールバックを確認するためにパスワードを入力してください。
"This action cannot be undone.",このアクションは取り消せません。
"User Password",パスワード
"Please put your store into maintenance mode during rollback processing.",ロールバック作業中はストアをメンテナンスモードにしてください。
"Use FTP Connection",FTP接続を使用
"FTP credentials",FTP証明書
"FTP Host",FTPホスト
"FTP Login",FTPログインID
"FTP Password",FTPパスワード
"Magento root directory",Magentoルートディレクトリ
"Create Backup",バックアップ作成
"Scheduled Backup Settings",定期バックアップ設定
"Enable Scheduled Backup",スケジュールバックアップを有効にする
"Backup Type",バックアップ種別
"Maintenance Mode",メンテナンスモード
"Are you sure you want to delete the selected backup(s)?",選択したバックアップを削除してもいいですか?
Size(bytes),サイズ(bytes)
Rollback,ロールバック
"Billing address is not set",請求書送付先住所が設定されていません
"Shipping address is not set",商品送付先住所が設定されていません
"Unable to save address. Please, check input data.",住所が保存できません。入力データを確認してください。
"Cart %1 doesn't contain products","カート %1 は商品を含んでいません"
"Could not apply coupon code",クーポンコードは適用できません
"Coupon code is not valid",クーポンコードは無効です
"Could not delete coupon code",クーポンコードは削除出来ませんでした
"The requested Payment Method is not available.",指定された決済方法は利用できません。
"We found an invalid request for adding product to quote.",クオートに商品を追加する不正なリクエストを発見しました
"This is the wrong quote item id to update configuration.",これは設定をアップデートするには誤ったクオート商品idです
"This shipping method is not available. To use this shipping method, please contact us.",この発送方法は無効です。この発送方法を使うには我々に連絡をください。
"The address model is not defined.",この住所モデルは定義されていません
"The address total model should be extended from \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","住所トータルモデルは \Magento\Quote\Model\Quote\Address\Total\AbstractTotal　から展開されるべきです"
"Shipping & Handling (%1)","配送料と手数料 (%1)"
"Shipping & Handling",配送料と手数料
"We found an invalid item option format.",無効な商品オプションフォーマットを見つけました
"Item qty declaration error",商品量宣言エラー
"Some of the products below do not have all the required options.",以下の商品はすべて必須オプションが指定されていません。
"Something went wrong during the item options declaration.",商品オプション宣言の間に問題が発生しました
"We found an item options declaration error.",商品オプション宣言エラーを発見しました
"Some of the selected options are not currently available.",選択されたオプションの中にご利用いただけないものが含まれています。
"Selected option(s) or their combination is not currently available.",選択したオプションまたはオプションの組み合わせは現在利用できません。
"Some item options or their combination are not currently available.",商品のオプションおよびオプションの組み合わせに利用できないものがあります。
"Cart %1 doesn't contain item  %2","カート%1は商品 %2を含みません"
"Could not save quote",クオートを保存できませんでした
"Could not remove item from quote",商品をクオートから削除出来ませんでした
"The qty value is required to update quote item.",数量はアップデートクオート商品に必須です
"Invalid customer id %1","無効な顧客id %1"
"Invalid address id %1","無効な住所id %1"
"Cannot create quote",クオートを作製できません
"Cannot assign customer to the given cart. The cart belongs to different store.",与えられたカートに顧客をアサインできません。このカートは別のストアに属しています
"Cannot assign customer to the given cart. The cart is not anonymous.",与えられたカートに顧客をアサインできません。カートは匿名ではありません。
"Cannot assign customer to the given cart. Customer already has active cart.",与えられたカートに顧客をアサインできません。顧客は既にアクティブなカートを持っています
"This item price or quantity is not valid for checkout.",商品の価格か数量がチェックアウトには有効ではありません
"Please check the shipping address information. %1","発送住所情報を確認してください %1"
"Please check the billing address information. %1","支払い住所情報を確認してください %1"
"Please select a valid payment method.",正しい支払い方法を選択してください。
"Store Credit",店舗クレジット
"Cart contains virtual product(s) only. Shipping address is not applicable.",カートには仮想商品しかありません。発送住所は適用できません。
"Shipping address not set.",送付アドレスがセットされていません
"Shipping method is not applicable for empty cart",空のカートに送付方法は適用できません
"Cart contains virtual product(s) only. Shipping method is not applicable.",カートには仮想商品しかありません。発送方法は適用できません。
"Carrier with such method not found: %1, %2","その手法のキャリアが見つかりません: %1, %2"
"Cannot set shipping method. %1","発送の方法を設定できません %1"
error123,エラー123
error345,エラー345
"Gift Messages is not applicable for empty cart",ギフトメッセージは空のカートには適用できません
"Gift Messages is not applicable for virtual products",ギフトメッセージはヴァーチュアル商品には適用できません
"Gift Message is not available",ギフトメッセージは使えません
"Could not add gift message to shopping cart",ショッピングカートにギフトメッセージを追加できません
"There is no item with provided id in the cart",指定されたIDの商品がカートにありません
"There is no product with provided  itemId: %1 in the cart","指定されたID: %1の商品がカートにありません"
"There is no item with provided id in the order","指定されたID: %1の商品が注文にありません"
"There is no item with provided id in the order or gift message isn't allowed",指定されたIDの商品が注文にありません、あるいはギフトメッセージが無効です
"Could not add gift message to order: ""%1""","注文にギフトメッセージを追加できませんでした: ""%1"""
"There is no order with provided id or gift message isn't allowed",指定されたIDの商品が注文にありません、あるいはギフトメッセージが許可されていません
"There is no order with provided id",指定されたIDの商品が注文にありません
"Gift Messages is not applicable for empty order",ギフトメッセージは空の注文には適用できません
"Could not add gift message to order's item: ""%1""","注文アイテム: ""%1""にギフトメッセージは追加できませんでした"
"Unknown entity type",不明なエンティティタイプ
"Gift Options",ギフトオプション
"Do you have any gift items in your order?",ギフトにする商品がありますか？
"Add gift options",ギフトオプションの追加
"Gift Options for the Entire Order",全体の注文に対するギフトオプション
"If you don't want to leave a gift message for the entire order, leave this box blank.",全体の注文にギフトメッセージを残したくない場合はこのボックスを空白にしてください
"Gift Options for Individual Items",個別商品に対するギフトオプション
"<span>Item %1</span> of %2","<span>個別商品 %1</span> の %2"
"You can leave a box blank if you don't wish to add a gift message for the item.",ギフトメッセージを商品に追加したくない場合はこのボックスを空白にしてください
"Add gift options for the Entire Order",注文全体にギフトオプションを追加する
"You can leave this box blank if you do not wish to add a gift message for this address.",この配送先にギフトメッセージを希望されない場合は空欄にしておくことができます。
"Add gift options for Individual Items",個別の商品にギフトオプションを追加する
"You can leave this box blank if you do not wish to add a gift message for the item.",この商品にギフトメッセージを希望されない場合は空欄にしておくことができます。
"Allow Gift Messages on Order Level",注文ごとにギフトメッセージを許可する
"Allow Gift Messages for Order Items",注文商品ごとにギフトメッセージを許可する
"Import and Export Tax Rates",税率のインポートとエクスポート
"The tax rate has been imported.",税率を取り込みました。
"Invalid file upload attempt",不正なファイルがアップロードされました
"Invalid file upload attempt.",不正なファイルがアップロードされました
"Invalid file format.",不正なファイルフォーマットです
"One of the countries has invalid code.",国の1つが不正なコードを持っています
"Import Tax Rates",税率のインポート
"Export Tax Rates",税率のエクスポート
"Not you?",あなたではありませんか?
"Your shopping cart has been updated with new prices.",あなたのショッピングカートが新しい価格でアップデートされました
"Welcome, %1!","ようこそ, %1!"
"To check out, please log in using your email address.",チェックアウトするには、Eメールアドレスを使ってログインしてください
"We cannot load the configuration from file %1.",ファイル%1から設定をロードできません
"Method ""%1"" is not defined in ""%2""","メソッド""%1""は""%2""では定義されていません"
"Remember Me",ログイン状態を維持する
"Check &quot;Remember Me&quot; to access your shopping cart on this computer when you are logged out",ログアウトした時&quot;覚えてください&quot;をチェックしてこのコンピューターのショッピングカートにアクセスしてください
"Persistent Shopping Cart",ショッピングカートの永続化
"Enable Persistence",セッションの永続化を有効にする
"Persistence Lifetime (seconds)","保持時間 (秒)"
"Enable ""Remember Me""","""ログイン状態を維持する""を有効にする"
"""Remember Me"" Default Value","""ログイン状態を維持する"" の初期値"
"Clear Persistence on Log Out",ログアウト時にカートを消去する
"Persist Shopping Cart",ショッピングカートを永続化する
"To see product price, add this item to your cart. You can always remove it later.",商品の価格を確認するためにカートに入れてください。カートから削除することはいつでも可能です。
"On Gesture",操作で
"In Cart",カートの中
"Before Order Confirmation",注文確認前
"Order total will be displayed before you submit the order",注文を提出する前に注文合計が表示されます
"You will see the order total before you submit the order.",注文を提出する前に注文合計が見られます
"Actual Price",実価格
"Minimum Advertised Price",希望小売価格
"Enable MAP",MAPを有効にする
"Display Actual Price",実際の価格を表示
"Default Popup Text Message",標準のポップアップメッセージ
"Default ""What's This"" Text Message","標準の ""これは何ですか"" メッセージ"
"What is this?",これは何ですか？
"--Please Select--",--選択してください--
"We cannot retrieve the payment method model object.",支払い方法モデルオブジェクトを引き出すことができません
"We cannot retrieve the payment info model object.",支払い情報モデルオブジェクトを引き出すことができません
"Credit Card Type",クレジットカード会社
"Credit Card Number",クレジットカード番号
"Switch/Solo/Maestro Issue Number",Switch/Solo/Maestro発行番号
"Switch/Solo/Maestro Start Date",Switch/Solo/Maestro開始日
"We cannot retrieve the transparent payment method model object.",不可視支払い方法モデルオブジェクトを引き出すことができません
"Command %1 does not exist.","コマンド %1 は存在しません"
"Validator for field %1 does not exist.",フィールド%1のバリデーターは存在しません
"All Allowed Countries",全ての許可された国
"Specific Countries",選択された国のみ
"The payment method you requested is not available.",リクエストされた支払い方法は有効ではありません
"The payment disallows storing objects.",支払いは保存オブジェクトを許可しません
"We cannot retrieve the payment method code.",支払い方法コードを引き出すことことができませんでした
"We cannot retrieve the payment information object instance.",支払い情報オブジェクトインスタンスは引き出せません
"You can't use the payment type you selected to make payments to the billing country.",選ばれた支払い方法は請求される国では支払い可能ではありません
"The order action is not available.",注文アクションは無効です
"The authorize action is not available.",権限アクションは無効です
"The capture action is not available.",キャプチャアクションは無効です
"The refund action is not available.",返金アクションは無効です
"Void action is not available.",取り消しアクションは利用できません。
"The payment review action is unavailable.",支払レビューは利用できません。
"Credit card number mismatch with credit card type.",クレジットカード番号がカード会社と一致していません。
"Invalid Credit Card Number",不正なクレジットカード番号
"Credit card type is not allowed for this payment method.",クレジットカード会社が支払方法で許可されていません。
"Please enter a valid credit card verification number.",正しいカード確認番号を入力してください
"We found an incorrect credit card expiration date.",誤ったクレジットカードの期限切れ日が見つかりました
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 クラスは \Magento\Payment\Model\MethodInterface　を設定できません"
"Expiration Date",有効期限
"Card Verification Number",カード確認番号
"Switch/Solo/Maestro Only",Switch/Solo/Maestroのみ
"Issue Number",取引番号
"Start Date",開始日
"%1 is not available. You still can process offline actions.","%1 は有効ではありません。オフラインのアクションは進められます "
"You'll be asked for your payment details before placing an order.",注文を入れる前に支払いの詳細を尋ねられます
"Card Verification Number Visual Reference",カード確認番号の参考画像
"Credit Card Information",クレジットカード番号
"Payment Methods",支払方法
"<label class=""label""><span>Make Check payable to:</span></label> %1","<label class=""label""><span>チェックを支払い可能に:</span></label> %1"
"Send Check to:",小切手の宛先を指定:
"Purchase Order Number",配送番号
"Make Check payable to: %1","チェックを支払い可能に: %1"
"Purchase Order Number: %1","購入注文番号: %1"
"Make Check payable to:",小切手支払を可能にする:
"Make Check payable to",チェックを支払い可能に
"Send Check to",小切手の宛先
"New Order Status",新規注文ステータス
"Check / Money Order","小切手 / 現金支払"
"Payment from Applicable Countries",許可された国からの支払
"Payment from Specific Countries",特定の国からの支払
"Make Check Payable to",小切手の振出先を指定
"Minimum Order Total",注文合計最小値
"Maximum Order Total",注文合計最大値
"Purchase Order",配送
"Bank Transfer Payment",銀行振込
Instructions,説明
"Cash On Delivery Payment",代引き支払い
"Zero Subtotal Checkout",ゼロ合計チェックアウト
"Automatically Invoice All Items",自動ですべての商品を請求する。
Pending,処理待ち
"Save Review",レビューの保存
"Add New Review",新規レビューの追加
"Review Details",レビュー詳細
"Product Rating",商品評価
"Visible In",表示先
Nickname,ニックネーム
"Summary of Review",レビューのタイトル
"Save and Previous",保存して戻る
"Save and Next",保存して次に
"Delete Review",レビュー削除
"Edit Review '%1'","Edit Review '%1'"
"New Review",新しいレビュー
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,管理者
"Posted By",投稿者
"Summary Rating",評価のタイトル
"Detailed Rating",評価の詳細
"Update Status",ステータスを更新
"Pending Reviews of Customer `%1`","レビューが保留の顧客 `%1`"
"Pending Reviews",承認待ちのレビュー
"All Reviews of Customer `%1`","顧客のすべてのレビュー `%1`"
"All Reviews of Product `%1`","商品のすべてのレビュー `%1`"
"All Reviews",全てのレビュー
"Product Store Name",商品ストア名
"Manage Ratings",評価管理
"Add New Rating",新規評価の追加
"Save Rating",評価の保存
"Delete Rating",評価の削除
"Edit Rating #%1","評価の編集 #%1"
"New Rating",新しい評価
"Rating Title",評価タイトル
"Rating Visibility",評価の表示
"Is Active",有効
"Rating Information",評価情報
"Pending product review(s)",保留中の商品レビュー
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","商品: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","レビューのまとめ: %1 <br/>"
"Review: %1 <br/>","レビュー: %1 <br/>"
"Store: %1 <br/>","ストア: %1 <br/>"
"Click <a href=""%1"">here</a> to view the review."," <a href=""%1"">ここ</a>をクリックしてレビューを表示してください"
"Product: ""%1"" reviewed by: %2","商品: ""%1"" レビューをした人: %2"
"Pending Reviews RSS",承認待ちレビューRSS
"Reviews %1","レビュー %1"
"The review has been deleted.",レビューは削除されました
"Customer Reviews",カスタマーレビュー
"Edit Review",レビュー編集
"We can't get the product ID.",商品IDを入手できません
"Please select review(s).",レビューを選択してください。
"An error occurred while deleting record(s).",レコードの削除中にエラーが発生しました。
"An error occurred while updating the selected review(s).",選択したレビューの更新中にエラーが発生しました。
"You saved the review.",レビューは保存されました
"An error occurred while saving review.",レビューの保存中にエラーが発生しました。
"The review was removed by another user or does not exist.",レビューがほかのユーザーによって削除されたか、または存在していません。
"Something went wrong while saving this review.",このレビューを保存中に問題が発生しました
"You deleted the rating.",レーティングが削除されました
Ratings,レーティング
"You saved the rating.",レーティングは保存されました
"My Product Reviews",商品レビュー
"Your review has been accepted for moderation.",あなたのレビューは受付済みで、承認待ちです。
"We cannot post the review.",レビューをポストできません
"Storage key was not set",保管キーはセットされていません
Approved,承認
"Not Approved",未承認
"The review summary field can't be empty.",レビューまとめフィールドは空白にできません
"The nickname field can't be empty.",ニックネームフィールドは空白にできません
"The review field can't be empty.",レビューフィールドは空白にできません
"Rating isn't Available",評価することはできません
"Please specify a rating title for a store, or we'll just use the default value.",ストアのレーティングタイトルを指定してください、もしくはデフォルト値を使用します
"Assigned Options",割り当て済みのオプション
"Option Title:",オプションのタイトル:
Rating,レーティング
"You have submitted no reviews.",まだレビューを書いていません。
"My Recent Reviews",最近のレビュー
"View All",全て表示
"Average Customer Rating:",平均評価:
"Your Review",あなたのレビュー
"Submitted on %1","投稿日 %1"
"Back to My Reviews",レビューに戻る
"Ratings Review Summary",レーティングレビューまとめ
"Be the first to review this product",この商品の最初のレビューを書く
"Write Your Own Review",あなたのレビューを投稿する
"You're reviewing:",レビュー中の商品:
"Your Rating",あなたのレーティング
"%1 %2","%1 %2"
"Submit Review",レビューを送信
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","登録済みユーザーのみレビューを書くことができます。 <a href=""%1"">ログイン</a> あるいは <a href=""%2"">登録</a>してください"
"Add Your Review",レビューを追加
"%1 Review(s)","%1 レビュー"
"Review by",レビューした人
"Posted on",投稿日
"Back to Main Product Info",商品メイン情報に戻る
"Average Customer Rating",平均評価
"Product Rating:",商品評価:
"Product Review (submitted on %1):","商品レビュー (投稿日 %1):"
"Back to Product Reviews",商品レビューに戻る
"Allow Guests to Write Reviews",ゲストのレビュー投稿を許可する
"Add New Template",新しいテンプレートの追加
"Transactional Emails",取り引きメール
"Delete Template",テンプレートの削除
"Convert to Plain Text",プレーンテキストに変換
"Return Html Version",HTMLバージョンに戻る
"Preview Template",テンプレートのプレビュー
"Save Template",テンプレートの保存
"Load Template",テンプレートを読み込む
"Edit Email Template",メールテンプレートの編集
"New Email Template",新規メールテンプレート
GLOBAL,グローバル
"Template Information",テンプレート情報
"Used Currently For",現在使用中の
"Used as Default For",デフォルトを使用する
"Template Name",テンプレート名
"Template Subject",テンプレート件名
"Template Content",テンプレートコンテンツ
"Template Styles",テンプレートスタイル
"The email template has been deleted.",メールテンプレートを削除しました。
"The email template is currently being used.",メールテンプレートは現在使われております
"We can't delete email template data right now. Please review log and try again.",メールのテンプレートは現在削除できません。後で再度お試しください。
"Edit Template",テンプレートの編集
"Edit System Template",システムテンプレートの編集
"New Template",新規テンプレート
"New System Template",新規システムテンプレート
"An error occurred. The email template can not be opened for preview.","エラーが発生しました。 メールテンプレートはプレビューのために開くことができません"
"This email template no longer exists.",このメールテンプレートはもはや存在しません
"The email template has been saved.",メールテンプレートを保存しました。
"Design config must have area and store.",デザインコンフィグはエリアとストアがなくてはなりません
"Base Unsecure URL",ベースURL
"Base Secure URL",セキュアベースURL
"General Contact Name",総合受付担当者名
"General Contact Email",総合受付メールアドレス
"Sales Representative Contact Name",セールス担当者名
"Sales Representative Contact Email",セールス担当者メールアドレス
"Custom1 Contact Name",カスタム問い合わせ担当者名1
"Custom1 Contact Email",カスタム問い合わせメールアドレス1
"Custom2 Contact Name",カスタム問い合わせ担当者名2
"Custom2 Contact Email",カスタム問い合わせメールアドレス2
"Store Name",店舗名
"Store Phone Number",ストア電話番号
"Street Address 1",,"番地 1"""
"Street Address 2",番地2
"Store Contact Information",店舗コンテンツ情報
"Template Variables",テンプレート変数
"The template Name must not be empty.",テンプレート名が空です。
"Duplicate Of Template Name",テンプレート名の複製
"Invalid transactional email code: %1","不正なトランザクション用Emailコード: %1"
"Requested invalid store ""%1""","不正なストア ""%1""が注文されました　"
"Invalid sender data",不正な送信者データ
"Load default template",標準のテンプレートを読み込む
"Are you sure that you want to strip tags?",タグを除去しても構いませんか？
"Are you sure that you want to delete this template?",このテンプレートを削除してもよろしいですか？
"Failed to load template. See error log for details.",",テンプレートのロードに失敗しました。詳細はエラーログを御覧ください。"
"Email Preview","Email プレビュー"
"No Templates Found",テンプレートが見つかりませんでした
Added,追加日
"Template Type",テンプレートタイプ
Any,すべて
" [deleted]"," [削除済]"
Date,日付
"View Order",注文の詳細を表示
"Newsletter Subscription",ニュースレター購読
"Credit Memos",クレジットメモ
Invoices,請求書
"We cannot get the order instance.",注文インスタンスを入手できませんでした
"Create New Order",注文新規作成
"Save Order Address",注文住所を保存
Billing,請求書
"Edit Order %1 %2 Address","注文 %1 %2 住所編集"
"Order Address Information",注文住所情報
"Please correct the parent block for this block.",このブロックの親ブロックを修正してください
"Submit Comment",コメント送信
"Submit Order",注文送信
"Are you sure you want to cancel this order?",ご注文をキャンセルしてもよろしいですか？
"Order Comment",注文コメント
"Please select a customer",顧客を選択してください
"Create New Customer",新規顧客作成
"Edit Order #%1","注文編集 #%1"
"Create New Order for %1 in %2",%2の%1のために新規注文作成
"Create New Order for New Customer in %1","%1 の新規顧客のために新規注文を作成"
"Create New Order for %1","%1 のために新規注文作成"
"Create New Order for New Customer",新規顧客の注文を新規作成する
"Items Ordered",注文済商品
"This product is disabled.",この商品は無効です
"Buy %1 for price %2","%2 の値段で %1が購入できます"
"Item ordered qty",オーダーされた商品数量
"%1 with %2 discount each","%1 と %2 で各ディスカウント"
"%1 for %2","%2 のための %1"
"* - Enter custom price including tax","* - 税込みのカスタム価格を入力"
"* - Enter custom price excluding tax","* - 税別のカスタム価格を入力"
"This product does not have any configurable options",この商品は変更できるオプションを持っていません。
"Please select products",商品を選択してください
"Add Selected Product(s) to Order",選択した商品をご注文に追加する
"Update Changes",変更内容を保存
